Timestamp,What is your favorite color?,Gender?,What is your age? (Optional),What is your Myers-Briggs Type? (Optional)
12/27/2016 13:33:52,,,,
12/27/2016 13:33:55,Red,Female,17,ENTJ
12/27/2016 13:34:28,Violet,Female,32,
12/27/2016 13:34:54,Violet,Male,35,
12/27/2016 13:36:02,Blue,Male,23,INTJ
12/27/2016 13:36:32,Grey,Female,,
12/27/2016 13:37:16,Black,Female,22,INFJ
12/27/2016 13:37:35,Blue,Male,,
12/27/2016 13:38:16,,,,
12/27/2016 13:38:20,Blue,Female,24,INFJ
12/27/2016 13:38:27,,,,
12/27/2016 13:39:28,Violet,Female,19,
12/27/2016 13:39:18,,,,
12/27/2016 13:39:32,,,,
12/27/2016 13:39:36,,,,
12/27/2016 13:39:42,Brown,Male,18,
12/27/2016 13:40:29,Violet,Female,23,ISFP
12/27/2016 13:40:39,Grey,Female,26,INFJ
12/27/2016 13:41:10,,,,
12/27/2016 13:41:23,Blue,Female,20,
12/27/2016 13:41:40,Violet,Male,23,
12/27/2016 13:42:00,,,,
12/27/2016 13:42:27,Red,Female,22,INFJ
12/27/2016 13:42:47,Orange,Male,20,
12/27/2016 13:42:47,Cyan,Male,16,INFP
12/27/2016 13:43:06,Orange,Female,18,INFP
12/27/2016 13:43:43,Green,Female,16,INFJ
12/27/2016 13:44:03,Cyan,Female,,ENTJ
12/27/2016 13:45:22,Red,Male,16,
12/27/2016 13:47:36,Red,Female,23,INFP
12/27/2016 13:49:18,,,,
12/27/2016 13:49:28,Orange,Female,34,
12/27/2016 13:50:44,Red,Female,32,
12/27/2016 13:50:56,Cyan,Male,22,
12/27/2016 13:51:06,,Female,,
12/27/2016 13:51:09,Blue,Male,,
12/27/2016 13:54:35,Grey,Male,19,INTP
12/27/2016 13:56:35,Violet,Female,38,INTJ
12/27/2016 13:56:36,Cyan,Female,28,ENFP
12/27/2016 13:56:39,Violet,Male,25,
12/27/2016 13:57:38,Red,Male,20,
12/27/2016 13:57:45,Black,Female,20,
12/27/2016 13:57:51,Orange,Male,34,INFJ
12/27/2016 13:58:02,Cyan,Other,18,INFJ
12/27/2016 13:59:59,,Male,32,
12/27/2016 14:00:20,Black,Male,32,
12/27/2016 14:03:01,Green,Male,21,
12/27/2016 14:03:04,Grey,Male,,
12/27/2016 14:03:08,,,,
12/27/2016 14:03:43,Green,Male,,
12/27/2016 14:03:59,Green,Female,30,ENFJ
12/27/2016 14:04:33,Violet,Male,26,
12/27/2016 14:04:37,Green,Female,17,INTP
12/27/2016 14:05:37,Violet,Female,39,INFP
12/27/2016 14:06:39,Magenta,Male,20,
12/27/2016 14:07:24,Cyan,Male,17,INTJ
12/27/2016 14:08:22,Blue,,16,INFJ
12/27/2016 14:08:53,Green,Male,20,INTJ
12/27/2016 14:08:58,,Male,19,INTJ
12/27/2016 14:09:08,Black,Male,20,
12/27/2016 14:09:26,Blue,Male,19,INTJ
12/27/2016 14:10:20,Black,Female,23,INFP
12/27/2016 14:10:24,Blue,Female,50,
12/27/2016 14:10:24,Pink,Male,18,
12/27/2016 14:10:35,Green,Male,32,
12/27/2016 14:11:48,Orange,Female,33,
12/27/2016 14:11:48,Other,Female,20,INTP
12/27/2016 14:11:57,Red,Other,19,ISFP
12/27/2016 14:12:49,Blue,Female,36,
12/27/2016 14:12:58,Blue,Male,28,
12/27/2016 14:13:13,,,,
12/27/2016 14:13:23,Violet,Female,22,INFJ
12/27/2016 14:14:56,,,,
12/27/2016 14:15:01,Green,Male,23,INTJ
12/27/2016 14:15:10,,,,
12/27/2016 14:15:34,,Male,36,INTP
12/27/2016 14:16:37,Violet,Female,30,
12/27/2016 14:19:35,Blue,Male,20,
12/27/2016 14:19:59,Orange,Female,27,ENTP
12/27/2016 14:21:00,Blue,Male,21,
12/27/2016 14:21:18,Blue,Female,16,INFP
12/27/2016 14:21:25,Violet,Female,40,
12/27/2016 14:22:55,Yellow,Female,20,ISTJ
12/27/2016 14:22:57,Black,Male,22,
12/27/2016 14:23:38,Pink,Female,17,INTJ
12/27/2016 14:23:40,Green,Male,23,
12/27/2016 14:24:06,Red,Male,18,INTP
12/27/2016 14:24:08,Yellow,Female,29,ENFJ
12/27/2016 14:24:47,Blue,Male,15,
12/27/2016 14:24:57,Orange,Male,17,
12/27/2016 14:26:06,,Female,32,INTP
12/27/2016 14:27:08,Red,Female,27,
12/27/2016 14:27:19,Cyan,Female,18,
12/27/2016 14:27:47,,Male,26,
12/27/2016 14:28:04,Green,Male,26,
12/27/2016 14:28:56,Blue,Female,32,
12/27/2016 14:29:33,Blue,Female,24,INTJ
12/27/2016 14:29:44,Green,Male,14,
12/27/2016 14:29:56,Blue,Male,23,
12/27/2016 14:30:05,Blue,Male,27,
12/27/2016 14:30:14,Other,Female,32,ENTJ
12/27/2016 14:30:40,,Female,,
12/27/2016 14:31:22,Grey,Female,36,
12/27/2016 14:31:23,Blue,Female,22,INFJ
12/27/2016 14:31:44,Blue,Male,26,INFJ
12/27/2016 14:32:00,Violet,Male,17,
12/27/2016 14:33:08,,Male,20,INFJ
12/27/2016 14:33:14,Violet,Male,16,
12/27/2016 14:34:33,Violet,Female,22,
12/27/2016 14:35:25,Blue,Male,19,INFP
12/27/2016 14:35:28,,,,
12/27/2016 14:35:31,Grey,Male,32,
12/27/2016 14:35:55,Green,Female,,
12/27/2016 14:36:22,Cyan,Female,19,
12/27/2016 14:36:35,Grey,Female,,
12/27/2016 14:36:37,Blue,Female,18,INFJ
12/27/2016 14:36:43,Green,Male,17,
12/27/2016 14:37:00,,,,
12/27/2016 14:37:10,,,,
12/27/2016 14:37:29,Red,Male,,
12/27/2016 14:37:33,Blue,Female,,
12/27/2016 14:37:38,Orange,Female,22,ENTP
12/27/2016 14:38:10,Green,Male,17,
12/27/2016 14:38:12,Green,Female,28,ISFP
12/27/2016 14:38:28,Violet,Male,16,
12/27/2016 14:41:00,,,,
12/27/2016 14:41:56,Red,Male,22,ENTP
12/27/2016 14:42:02,Green,Male,22,ESTJ
12/27/2016 14:42:04,Blue,Male,22,ENFP
12/27/2016 14:42:37,Violet,Female,34,ISTJ
12/27/2016 14:42:51,Red,Male,21,INTP
12/27/2016 14:43:16,Violet,Female,16,INFP
12/27/2016 14:43:23,Orange,Male,23,ESTP
12/27/2016 14:44:06,Blue,Male,20,
12/27/2016 14:44:53,Red,Male,,
12/27/2016 14:44:57,,,,
12/27/2016 14:44:57,Red,Male,20,
12/27/2016 14:45:00,Green,Male,16,INTP
12/27/2016 14:45:03,Orange,Male,19,ESFP
12/27/2016 14:45:31,,,,
12/27/2016 14:45:34,Blue,Female,21,INFP
12/27/2016 14:46:16,Orange,Female,20,
12/27/2016 14:46:45,Blue,Male,26,
12/27/2016 14:46:45,Green,Female,40,
12/27/2016 14:46:56,Green,Male,16,INTP
12/27/2016 14:47:41,Blue,Male,38,
12/27/2016 14:51:00,Green,Female,28,ISFJ
12/27/2016 14:51:50,Violet,Female,21,
12/27/2016 14:52:41,Green,Male,19,ISTP
12/27/2016 14:53:54,Brown,Male,22,
12/27/2016 14:54:08,Grey,Male,25,INFJ
12/27/2016 14:54:16,Other,Male,23,INTJ
12/27/2016 14:55:06,Pink,Female,23,INFJ
12/27/2016 14:58:21,Green,Male,24,INFJ
